year,treatment,transect,location,recorders,bareground,litter,rock,moss_lichen_fungi,total_ground_cover,Abies_lasiocarpa,Acer_glabrum,Achillea_millefolium,Agoseris_glauca ,Agropyron_smithii,Allium_geyeri,Amelanchier_alnifolia,Antennaria_luzuloides,Apocynum_androsace,Arctium_minus,Arnica_sp,Artemisia_absinthium,Artemisia_cana,Astragalus_sp,Balsmorhiza_sagitatta,Bromus_carinatus,Bromus_inermis,Calamagrostis_rubescens,Carex_geyeri,Carex_sp,Castilleja_rhexifolia,Cerastium_arvense,Chamerion_angustifolium,Cirsium_arvense,Collomia_linearis,Corallorhiza_striata,Dactylis_glomerata,Delphinium_occidentale,Elymus_glaucus,Erigeron_sp,Erythronium_grandiflorum,Eurybia_conspicua,Festuca_idahoensis,Frageria_virginiana,Gallium_boreal,Geranium_viscosissimum,Gooyera_oblongifolia,Hieracium_scouleri,Lupinus_argenteus,Madia_glomerata,Mahonia_repens,Maianthemum_stellata,Melica_bulbosa,Monarda_fistulosa,Osmorhiza_sp,Perideridia_montana,Phleum_pratense,Polygonum_sp,Potentilla_gracilis,Prunus_sp,Pseudotsuga_menziesii,Rosa_woodsii,Sedum_sp,Spirea_betulifolia,Symphoriocarpos_albus,Symphyotrichum_foliaceum,Taraxacum_officinale,Thalitricum_sp,Tragopogon_dubius,Trifolium_hybridum,Trifolium_pratense,Trifolium_repens
2020,construction,3,0m,CGKT,50,20,10,0,122,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,1,0,0
2020,construction,3,5m,CGKT,30,10,5,0,148,0,0,3,0,0,0,0,0,0,3,0,7,7,0,0,0,0,0,35,0,0,1,4,0,2,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,5,0,3,0,0,0,0,0
2020,construction,3,10m,CGKT,45,15,5,0,121,0,0,13,0,4,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,1,0
2020,construction,3,15m,DHKO,47,4,1,0,111,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,15,0,0,0,21,0
2020,construction,3,20m,DHKO,24,4,1,0,100,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2020,ski_run,1,0m,RRMB,7,0,5,0,108,0,0,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,7,30,0,0,0,0,0,0
2020,ski_run,1,5m,RRMB,10,0,1,0,124,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,20,0,0,17,20,0,0,3,0,0,0
2020,ski_run,1,10m,RRMB,2,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0
2020,ski_run,1,15m,MCSW,25,10,0,0,124,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,15,20,0,0,0,0,0,0
2020,ski_run,1,20m,MCSW,30,12,0,0,100,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,12,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0
2020,ski_run,2,0m,JRER,35,4,7,0,109,0,8,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2020,ski_run,2,5m,JRER,58,5,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,8,0,0,0,4,0,0,0
2020,ski_run,2,10m,JRER,52,5,3,0,105,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0
2020,ski_run,2,15m,JRER,53,5,3,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0
2020,ski_run,2,20m,MCSW,60,5,3,0,112,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,25,0,0,0,0,7,0,0,0,0,0,0,0
2020,ski_run,3,0m,RRMB,25,0,15,0,102,0,0,0,0,0,2,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0
2020,ski_run,3,5m,mystery,40,7,10,0,101,0,0,0,0,0,0,0,0,0,0,12,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0
2020,ski_run,3,10m,mystery,50,8,0,0,100,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2020,ski_run,3,15m,mystery,7,30,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2020,ski_run,3,20m,SLLS,15,15,5,5,146,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,15,3,0,0,0,0,0,0
2020,forest,1,0m,CGKT,10,40,12,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0
2020,forest,1,5m,CGKT,40,15,5,0,136,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0
2020,forest,1,10m,CGKT,2,15,1,0,128,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0
2020,forest,1,15m,AH,12,40,0,0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,12,0,0,0,0
2020,forest,1,20m,AH,6,50,0,0,145,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2020,forest,2,0m,JRER,87,40,4,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2020,forest,2,5m,JRER,37,24,6,6,138,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2020,forest,2,10m,JRER,18,12,0,0,112,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
2020,forest,2,15m,JRER,15,38,4,1,138,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2020,forest,2,20m,MCSW,1,15,1,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,25,0,0,0,0
2020,forest,3,0m,MCSW,0,19,0,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0
2020,forest,3,5m,MCSW,0,10,6,3,65,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020,forest,3,10m,JRER,76,65,0,0,190,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2020,forest,3,15m,AH,45,50,3,0,135,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020,forest,3,20m,CGKT,5,20,0,0,112,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
